"type","season","week","day","first_course","second_course","side_dish","fruit","snack"
"2","2","3","1","Pasta senza glutine con il ragù","Formaggio spalmabile  ","Insalata Carote","Frutta di stagione  ","Dolce senza glutine"
"2","2","3","2","Pasta senza glutine Olio e grana ","Hamburger  ","Insalata Carote","Frutta di stagione  ","Budino  "
"2","2","3","3","Pasta senza glutine pomodoro e tonno  ","Petto di pollo  ","Broccoli","Frutta di stagione  ","Muffin al cioccolato senza glutine"
"2","2","3","4","Pizza margherita  senza glutine"," Insalata mista con legumi ","-","Frutta di stagione  ","Frutta di stagione  "
"2","2","3","5","Pasta senza glutine al pomodoro ","Filetto di merluzzo con pangrattato senza glutine
","Spinaci","Frutta di stagione  ","Succo 100% e e biscotti senza glutine"
"2","2","4","1","Gnocchi senza glutine burro e salvia ","Spiedini","Carote","Frutta di stagione  ","Frutta di stagione  "
"2","2","4","2","Pasta senza glutine  e ceci ","Formaggio","Broccoli","Frutta di stagione  ","Croissant senza glutine albicocca"
"2","2","4","3","Pasta senza glutine all’amatriciana  ","Frittata","Fagiolini","Frutta di stagione  ","Pane senza glutine e cioccolato
"
"2","2","4","4","Pasta senza glutine all’olio e parmigiano ","Bocconcini di Tacchino","insalata ","Frutta di stagione  ","Yogurt alla frutta  "
"2","2","4","5","Risotto ai frutti di mare  ","Tonno","Insalata di Finocchi","Frutta di stagione  ","Muffin al cioccolato  senza glutine"
"1","1","1","1","Pasta con olio e parmigiano  ","Fusi di pollo  ","Zucchine","Frutta di stagione  ","Crostatina  "
"1","1","1","2","Gnocchi con il Pomodoro   ","Arrosto di maiale  ","Spinaci","Frutta di stagione  ","Frutta di stagione  "
"1","1","1","3","Insalata di riso   ","Formaggio fresco  ","Insalata  ","Frutta di stagione  ","Gelato  "
"1","1","1","4","Pasta alla norma  "," Polpette di manzo   ","Piselli","Frutta di stagione  ","Focaccina monoporzione  "
"1","1","1","5","Pasta al  pesto ","Filetto di merluzzo  ","Carote","Frutta di stagione  ","Succo 100% e biscotti secchi  "
"1","1","2","1","Pasta al Pomodoro  ","Hamburger  ","Spinaci  ","Frutta di stagione  ","Crostatina  "
"1","1","2","2","Lasagne al pesto  ","Prosciutto    ","Insalata   ","Frutta di stagione  ","Budino  "
"1","1","2","3","Pasta con olio e parmigiano  ","Formaggio spalmabile ","Zucchine  ","Frutta di stagione  ","Schiacciatina   "
"1","1","2","4","Risotto allo zafferano  ","Petto di pollo  ","Fagiolini  ","Frutta di stagione  ","Gelato  "
"1","1","2","5","Pasta al tonno ","Pesce  al forno ","Pomodori","Frutta di stagione  ","Succo 100% e biscotti secchi  "
"1","1","3","1","Ravioli con burro e salvia  ","Spiedini  ","Fagiolini  ","Frutta di stagione  ","Plumcake   "
"1","1","3","2","Pasta e piselli ","Mozzarella","Pomodoro ","Frutta di stagione  ","Crostatina  "
"1","1","3","3","Pasta con crema di zucchine","insalatona (con prosciutto, formaggio ,olive,e verdure juillienne) ","-","Frutta di stagione  ","Muffin al cioccolato  "
"1","1","3","4","Pasta fredda ","Fusi di pollo  ","Insalata ","Frutta di stagione  ","Gelato  "
"1","1","3","5","Pasta al Pomodoro ","Filetto di merluzzo panato  ","Carote ","Frutta di stagione  ","Succo 100% e biscotti secchi  "
